InfectedIn.Year.Range,Inf.Year,R0.All,R0.SexWorkers,R0.LowRisk,R0.HighRisk,R0.LowRisk.Female,R0.LowRisk.Male,R0.HighRisk.Female,R0.HighRisk.Male
0 - <2,0,1,0,0.5,2,1,0,0,2
2 - <4,2,2.07692307692308,9,0.5,0.888888888888889,0,0.5,1,0.875
4 - <6,4,1.08333333333333,0,1.5,1,2,1,0,1.25
6 - <8,6,2,3.6,1.33333333333333,1.14285714285714,2,1,1,1.25
8 - <10,8,1.52380952380952,7,0.75,1.09090909090909,1.33333333333333,0.4,2,1
10 - <12,10,1.22857142857143,6,1,1.11538461538462,0.75,1.25,1.375,1
12 - <14,12,1.77777777777778,7.33333333333333,0.857142857142857,1.17647058823529,0.5,1.33333333333333,0.833333333333333,1.36363636363636
14 - <16,14,1.59090909090909,6.6,0.888888888888889,0.966666666666667,1.33333333333333,0.666666666666667,0.571428571428571,1.3125
16 - <18,16,1.46,7.33333333333333,1,1.12903225806452,1.16666666666667,0.9,0.916666666666667,1.26315789473684
18 - <20,18,2.14285714285714,9.21428571428571,0.666666666666667,1.06349206349206,0.416666666666667,1,0.619047619047619,1.28571428571429
20 - <22,20,1.60294117647059,7.9,0.8,1.21978021978022,0.375,0.925925925925926,1,1.29411764705882
22 - <24,22,1.78823529411765,9.0625,0.741379310344828,1.20833333333333,0.592592592592593,0.870967741935484,0.928571428571429,1.32352941176471
24 - <26,24,1.43700787401575,7.45,0.85,0.948275862068966,0.818181818181818,0.868421052631579,0.885714285714286,0.990384615384615
26 - <28,26,1.33030303030303,7.08,0.822222222222222,0.874418604651163,0.657894736842105,0.942307692307692,0.69620253164557,0.977941176470588
28 - <30,28,1.31444759206799,7.34615384615385,0.650602409638554,0.897540983606557,0.625,0.666666666666667,0.675,1.00609756097561
30 - <32,30,1.12412177985948,6.625,0.610169491525424,0.873684210526316,0.488888888888889,0.684931506849315,0.754716981132076,0.94413407821229
32 - <34,32,1.31446540880503,6.66666666666667,0.762962962962963,0.871287128712871,0.654545454545455,0.8375,0.663934426229508,1.01104972375691
34 - <36,34,1.01897533206831,5,0.755952380952381,0.840840840840841,0.534246575342466,0.926315789473684,0.6953125,0.931707317073171
36 - <38,36,0.884751773049645,3.74285714285714,0.580645161290323,0.75801749271137,0.44,0.675675675675676,0.634920634920635,0.829493087557604
38 - <40,38,0.748299319727891,2.33333333333333,0.584158415841584,0.707865168539326,0.531914893617021,0.62962962962963,0.647058823529412,0.753694581280788
40 - <42,40,0.727941176470588,1.95833333333333,0.616438356164384,0.672268907563025,0.493333333333333,0.746478873239437,0.560747663551402,0.763358778625954
42 - <44,42,0.936288088642659,4.33333333333333,0.659259259259259,0.717821782178218,0.492957746478873,0.84375,0.724489795918367,0.711538461538462
44 - <46,44,0.883381924198251,2.95652173913043,0.630252100840336,0.796019900497512,0.69811320754717,0.575757575757576,0.581395348837209,0.956521739130435
