InfectedIn.Year.Range,Inf.Year,R0.All,R0.SexWorkers,R0.LowRisk,R0.HighRisk,R0.LowRisk.Female,R0.LowRisk.Male,R0.HighRisk.Female,R0.HighRisk.Male
0 - <2,0,1.38888888888889,5,1,0.888888888888889,1,1,0,1.14285714285714
2 - <4,2,0.833333333333333,0,0,1,0,0,1,1
4 - <6,4,3.4,11.5,1.33333333333333,1.4,1,2,3,1
6 - <8,6,1.44827586206897,11,1,1.11538461538462,0,1,1,1.1875
8 - <10,8,2.1,13,1.33333333333333,1.31578947368421,0,1.71428571428571,1.2,1.44444444444444
10 - <12,10,1.66101694915254,8.25,0.916666666666667,1.25581395348837,2,0.7,1.23076923076923,1.26666666666667
12 - <14,12,1.60377358490566,10.1666666666667,0.903225806451613,1.17391304347826,0.666666666666667,1.125,1.06896551724138,1.25
14 - <16,14,1.95726495726496,10.3333333333333,0.833333333333333,1.06666666666667,0.764705882352941,0.923076923076923,0.869565217391304,1.15384615384615
16 - <18,16,1.88613861386139,10,0.948275862068966,1.15873015873016,0.541666666666667,1.23529411764706,0.829268292682927,1.31764705882353
18 - <20,18,1.57185628742515,8.11538461538461,0.827956989247312,1.10232558139535,0.477272727272727,1.14285714285714,0.830769230769231,1.22
20 - <22,20,1.35874439461883,7.7,0.794326241134752,0.956363636363636,0.689655172413793,0.867469879518072,0.722772277227723,1.09195402298851
22 - <24,22,1.27346278317152,6.74418604651163,0.730061349693252,0.91747572815534,0.6,0.827956989247312,0.602649006622517,1.09961685823755
24 - <26,24,1.02030456852792,5.6969696969697,0.683168316831683,0.778089887640449,0.370786516853933,0.929203539823009,0.581699346405229,0.926108374384236
26 - <28,26,1.03189792663477,5.96875,0.65,0.834666666666667,0.515789473684211,0.752,0.585365853658537,1.02843601895735
28 - <30,28,1.00647249190939,5.90625,0.605381165919282,0.820936639118457,0.467889908256881,0.736842105263158,0.670731707317073,0.944723618090452
30 - <32,30,1.02675585284281,5.55882352941176,0.611374407582938,0.838526912181303,0.474747474747475,0.732142857142857,0.678321678321678,0.947619047619048
32 - <34,32,1.06750392464678,5.74358974358974,0.681159420289855,0.805626598465473,0.6,0.743589743589744,0.67515923566879,0.893162393162393
34 - <36,34,1.06696428571429,5.25641025641026,0.641350210970464,0.909090909090909,0.483606557377049,0.808695652173913,0.620481927710843,1.11739130434783
36 - <38,36,0.939259259259259,4.76923076923077,0.654901960784314,0.73753280839895,0.490566037735849,0.771812080536913,0.496969696969697,0.921296296296296
38 - <40,38,0.952959028831563,4.375,0.671232876712329,0.765,0.546511627906977,0.75187969924812,0.619883040935672,0.873362445414847
40 - <42,40,0.932203389830508,4.3,0.622222222222222,0.763020833333333,0.466666666666667,0.758333333333333,0.644970414201183,0.855813953488372
42 - <44,42,0.844771241830065,3.88888888888889,0.623853211009174,0.752043596730245,0.407407407407407,0.836363636363636,0.516556291390728,0.916666666666667
44 - <46,44,1,4.325,0.570754716981132,0.882352941176471,0.405405405405405,0.752475247524752,0.792207792207792,0.950738916256158
