InfectedIn.Year.Range,Inf.Year,R0.All,R0.SexWorkers,R0.LowRisk,R0.HighRisk,R0.LowRisk.Female,R0.LowRisk.Male,R0.HighRisk.Female,R0.HighRisk.Male
0 - <2,0,1,0,0.5,2,1,0,0,2
2 - <4,2,2.07692307692308,9,0.5,0.888888888888889,0,0.5,1,0.875
4 - <6,4,1.08333333333333,0,1.5,1,2,1,0,1.25
6 - <8,6,2,3.6,1.33333333333333,1.14285714285714,2,1,1,1.25
8 - <10,8,1.52380952380952,7,0.75,1.09090909090909,1.33333333333333,0.4,2,1
10 - <12,10,1.22857142857143,6,1,1.11538461538462,0.75,1.25,1.375,1
12 - <14,12,1.77777777777778,7.33333333333333,0.857142857142857,1.17647058823529,0.5,1.33333333333333,0.833333333333333,1.36363636363636
14 - <16,14,1.59090909090909,6.6,0.888888888888889,0.966666666666667,1.33333333333333,0.666666666666667,0.571428571428571,1.3125
16 - <18,16,1.46,7.33333333333333,1,1.12903225806452,1.16666666666667,0.9,0.916666666666667,1.26315789473684
18 - <20,18,2.14285714285714,9.21428571428571,0.666666666666667,1.06349206349206,0.416666666666667,1,0.619047619047619,1.28571428571429
20 - <22,20,1.60294117647059,7.9,0.8,1.21978021978022,0.375,0.925925925925926,1,1.29411764705882
22 - <24,22,1.78823529411765,9.0625,0.741379310344828,1.20833333333333,0.592592592592593,0.870967741935484,0.928571428571429,1.32352941176471
24 - <26,24,1.43700787401575,7.45,0.85,0.948275862068966,0.818181818181818,0.868421052631579,0.885714285714286,0.990384615384615
26 - <28,26,1.32727272727273,7.08,0.822222222222222,0.869767441860465,0.657894736842105,0.942307692307692,0.683544303797468,0.977941176470588
28 - <30,28,1.31728045325779,7.38461538461539,0.650602409638554,0.897540983606557,0.625,0.666666666666667,0.675,1.00609756097561
30 - <32,30,1.15456674473068,6.83333333333333,0.635593220338983,0.891228070175439,0.511111111111111,0.712328767123288,0.735849056603774,0.983240223463687
32 - <34,32,1.33542976939203,7.05128205128205,0.762962962962963,0.854785478547855,0.654545454545455,0.8375,0.647540983606557,0.994475138121547
34 - <36,34,1.09487666034156,6.30769230769231,0.726190476190476,0.873873873873874,0.493150684931507,0.905263157894737,0.65625,1.00975609756098
36 - <38,36,1.09751773049645,5.82857142857143,0.731182795698925,0.813411078717201,0.706666666666667,0.747747747747748,0.642857142857143,0.912442396313364
38 - <40,38,1.02551020408163,6.16666666666667,0.623762376237624,0.820224719101124,0.468085106382979,0.759259259259259,0.673202614379085,0.931034482758621
40 - <42,40,1.10169491525424,6.35483870967742,0.771428571428571,0.778461538461538,0.662162162162162,0.851485148514851,0.573529411764706,0.925925925925926
42 - <44,42,1.06549520766773,5.92857142857143,0.616740088105727,0.778711484593838,0.527272727272727,0.700854700854701,0.597315436241611,0.908653846153846
44 - <46,44,1.05229793977813,5.68571428571429,0.631578947368421,0.86046511627907,0.578947368421053,0.675438596491228,0.619354838709677,1.02155172413793
