InfectedIn.Year.Range,Inf.Year,R0.All,R0.SexWorkers,R0.LowRisk,R0.HighRisk,R0.LowRisk.Female,R0.LowRisk.Male,R0.HighRisk.Female,R0.HighRisk.Male
0 - <2,0,1.25,0,0.5,1.5,1,0,0.5,2
2 - <4,2,2.08333333333333,9,0,1.6,0,0,1,2
4 - <6,4,1.8,10,0.6,1.64285714285714,0,1,1.4,1.77777777777778
6 - <8,6,2.52173913043478,8.5,1,1.29411764705882,0,1,1.66666666666667,1.09090909090909
8 - <10,8,1.625,9.8,0.55,1.12820512820513,0.25,0.75,0.6,1.45833333333333
10 - <12,10,2.12264150943396,9.2,0.944444444444444,1.48717948717949,0.333333333333333,1.06666666666667,1.33333333333333,1.55555555555556
12 - <14,12,1.8361581920904,9.53333333333333,0.893617021276596,1.21739130434783,0.681818181818182,1.08,1.04761904761905,1.31506849315068
14 - <16,14,1.61153846153846,8.7,0.971014492753623,1.04093567251462,0.966666666666667,0.974358974358974,0.833333333333333,1.15315315315315
16 - <18,16,1.41741741741742,8.04545454545454,0.747126436781609,1.02678571428571,0.625,0.851063829787234,0.926829268292683,1.08450704225352
18 - <20,18,1.23671497584541,7.17391304347826,0.776,0.93984962406015,0.43859649122807,1.05882352941176,0.625,1.11764705882353
20 - <22,20,1.45067698259188,7.15217391304348,0.838028169014085,0.917933130699088,0.518518518518518,1.03409090909091,0.56140350877193,1.10697674418605
22 - <24,22,1.09951845906902,6.81818181818182,0.668181818181818,0.845945945945946,0.473684210526316,0.816,0.621951219512195,1.02427184466019
24 - <26,24,1.12631578947368,6.68292682926829,0.699570815450644,0.797953964194373,0.51304347826087,0.88135593220339,0.583333333333333,0.940425531914894
26 - <28,26,1.01298701298701,6.09375,0.695121951219512,0.809638554216867,0.556451612903226,0.836065573770492,0.632183908045977,0.937759336099585
28 - <30,28,0.941176470588235,5.48275862068965,0.654166666666667,0.774535809018568,0.485436893203884,0.781021897810219,0.56953642384106,0.911504424778761
30 - <32,30,1.02097902097902,5.56521739130435,0.584615384615385,0.787286063569682,0.424,0.733333333333333,0.550898203592814,0.950413223140496
32 - <34,32,1.02225755166932,5.325,0.635593220338983,0.793201133144476,0.470588235294118,0.761194029850746,0.683229813664596,0.885416666666667
34 - <36,34,0.945086705202312,5.09375,0.641221374045801,0.811557788944724,0.487179487179487,0.76551724137931,0.602409638554217,0.961206896551724
36 - <38,36,0.881147540983607,4.05555555555556,0.625454545454545,0.776722090261283,0.457142857142857,0.8,0.578034682080925,0.915322580645161
38 - <40,38,0.783536585365854,2.66666666666667,0.570815450643777,0.736434108527132,0.464,0.694444444444444,0.623376623376623,0.811158798283262
40 - <42,40,0.823728813559322,2.13513513513514,0.59009009009009,0.833836858006042,0.445544554455446,0.710743801652893,0.605263157894737,1.02793296089385
42 - <44,42,0.903100775193798,3.61764705882353,0.607142857142857,0.767515923566879,0.588235294117647,0.626506024096386,0.642857142857143,0.867816091954023
44 - <46,44,0.898263027295285,3.94736842105263,0.689873417721519,0.787610619469027,0.611111111111111,0.755813953488372,0.683168316831683,0.872
