endYear,alive.Female,alive.Male,infected.Female,infected.Male,newInfections.Female,newInfections.Male,prevalence.Female,prevalence.Male,incidence.Female,incidence.Male,percInfectedTreated.Female,percInfectedTreated.Male,percNewInfectFromAcute,percNewInfectFromAcute.Female,percNewInfectFromAcute.Male,sampleCoverage.25p,sampleCoverage.25p.Female,sampleCoverage.25p.Male,sampleCoverage.50p,sampleCoverage.50p.Female,sampleCoverage.50p.Male
0.5,3183,2978,3,3,2,3,0.0942507068803016,0.10073875083949,0.0628930817610063,0.100840336134454,0,0,20,50,0,0,0,0,0,0,0
1,3174,2975,4,6,1,3,0.126023944549464,0.134453781512605,0.0315457413249211,0.101044122600202,0,0,25,0,33.3333333333333,0,0,0,0,0,0
1.5,3181,2983,5,8,1,2,0.157183275699466,0.167616493462957,0.0314861460957179,0.0672268907563025,0,0,66.6666666666667,100,50,0,0,0,0,0,0
2,3179,2992,7,12,2,4,0.220195029883611,0.233957219251337,0.0630517023959647,0.134228187919463,0,0,33.3333333333333,50,25,0,0,0,0,0,0
2.5,3203,2989,7,13,0,1,0.218545113955667,0.234192037470726,0,0.0336021505376344,0,0,0,0,0,0,0,0,0,0,0
3,3201,2994,7,14,1,1,0.218681661980631,0.233800935203741,0.0313087038196619,0.0335570469798658,0,0,50,0,100,0,0,0,0,0,0
3.5,3212,3008,7,14,1,0,0.217932752179328,0.232712765957447,0.031201248049922,0,0,0,0,0,0,0,0,0,0,0,0
4,3229,3004,8,15,1,1,0.247754722824404,0.266311584553928,0.0310462589257994,0.0334560053529609,0,0,0,0,0,0,0,0,0,0,0
4.5,3234,3024,10,15,2,0,0.309214594928881,0.330687830687831,0.0620347394540943,0,0,0,0,0,0,0,0,0,0,0,0
5,3253,3033,10,15,0,0,0.307408545957578,0.329706561160567,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,3273,3051,10,12,0,1,0.305530094714329,0.327761389708292,0,0.032927230819888,0,0,0,0,0,0,0,0,0,0,0
6,3277,3074,13,16,3,4,0.396704302715899,0.422901756668835,0.0919117647058823,0.130890052356021,0,0,71.4285714285714,66.6666666666667,75,0,0,0,0,0,0
6.5,3300,3091,17,19,4,3,0.515151515151515,0.549983824005176,0.121839780688395,0.0977198697068404,0,0,42.8571428571429,25,66.6666666666667,0,0,0,0,0,0
7,3308,3103,17,23,1,5,0.513905683192261,0.547856912665163,0.0303951367781155,0.16239038648912,0,0,0,0,0,0,0,0,0,0,0
7.5,3327,3119,18,24,1,2,0.541027953110911,0.577108047451106,0.030229746070133,0.0646412411118293,0,0,0,0,0,0,0,0,0,0,0
8,3349,3131,23,32,5,8,0.686772170797253,0.734589587991057,0.150375939849624,0.25823111684958,0,0,38.4615384615385,40,37.5,0,0,0,0,0,0
8.5,3356,3143,25,36,2,5,0.744934445768772,0.795418390073178,0.0600420294205944,0.161030595813205,0,0,14.2857142857143,50,0,0,0,0,0,0,0
9,3371,3155,27,37,3,3,0.800949273212696,0.855784469096672,0.0897129186602871,0.0963081861958267,0,0,50,66.6666666666667,33.3333333333333,0,0,0,0,0,0
9.5,3388,3178,29,39,5,3,0.855962219598583,0.912523599748269,0.148986889153754,0.0956632653061224,0,0,25,40,0,0,0,0,0,0,0
10,3403,3197,30,42,4,5,0.881575080811049,0.93837973099781,0.118800118800119,0.158730158730159,0,0,66.6666666666667,50,80,0,0,0,0,0,0
10.5,3431,3207,33,50,3,9,0.961818711745847,1.0289990645463,0.0884433962264151,0.285532994923858,0,0,8.33333333333333,33.3333333333333,0,0,0,0,0,0,0
11,3445,3214,35,57,3,8,1.01596516690856,1.08898568761668,0.0881316098707403,0.253807106598985,0,0,0,0,0,0,0,0,0,0,0
11.5,3465,3227,40,63,5,9,1.15440115440115,1.23954136969321,0.146156094709149,0.285080772885651,0,0,14.2857142857143,0,22.2222222222222,0,0,0,0,0,0
12,3479,3240,48,74,8,14,1.37970681230239,1.48148148148148,0.233372228704784,0.443178220955999,0,0,36.3636363636364,50,28.5714285714286,0,0,0,0,0,0
12.5,3501,3257,54,85,7,12,1.54241645244216,1.65796745471293,0.203193033381713,0.378907483422798,0,0,26.3157894736842,0,41.6666666666667,0,0,0,0,0,0
13,3503,3273,65,99,15,16,1.85555238367114,1.98594561564314,0.436935624817944,0.505050505050505,0,0,29.0322580645161,13.3333333333333,43.75,0,0,0,0,0,0
